"","type","title","subtitle","from","date","link"
"368","Correspondence","Coronavirus (COVID-19): letter to the construction sector, November 2020","Letter from the Secretary of State for Business, Energy and Industrial Strategy, Alok Sharma, to those working in the construction sector and its supply chain.","Department for Business, Energy & Industrial Strategy and The Rt Hon Alok Sharma MP",2020-11-13,"https://www.gov.uk/government/publications/coronavirus-covid-19-letter-to-the-construction-sector-november-2020"
"369","Press release","New Lighthouse Labs to boost NHS Test and Trace capacity","Two new Lighthouse Labs in Newcastle and Bracknell will join the largest network of diagnostic testing facilities created in British history to help scale up testing capacity ahead of winter.","Department of Health and Social Care",2020-09-17,"https://www.gov.uk/government/news/new-lighthouse-labs-to-boost-nhs-test-and-trace-capacity"
"370","Press release","Government invests in UK-developed antibody tests from UK Rapid Test Consortium","The government has signed a deal with the UK Rapid Test Consortium (UK-RTC) for 1 million antibody tests, Health Minister Lord Bethell has announced today.","Department of Health and Social Care",2020-10-06,"https://www.gov.uk/government/news/government-invests-in-uk-developed-antibody-tests-from-uk-rapid-test-consortium"
"371","Press release","£300 million additional funding for local authorities to support new test and trace service","Local authorities will be central to supporting the new test and trace service in England, with the government providing a new funding package of £300 million.","Department of Health and Social Care",2020-05-22,"https://www.gov.uk/government/news/300-million-additional-funding-for-local-authorities-to-support-new-test-and-trace-service"
"372","Correspondence","Treasury Direction made by the Chancellor under Sections 71 and 76 of the Coronavirus Act 2020","The Chancellor has made a further Treasury Direction in relation to Grant 3 under Sections 71 and 76 of the Coronavirus Act 2020.","HM Treasury",2020-05-01,"https://www.gov.uk/government/publications/treasury-direction-made-by-the-chancellor-under-sections-71-and-76-of-the-coronavirus-act-2020"
"373","Press release","Thousands of high street shops, department stores and shopping centres to reopen safely in England","Shops in England selling non-essential goods will be able to reopen from Monday 15 June, the Business Secretary confirmed today, thanks to continuing progress in meeting our 5 tests.","Department for Business, Energy & Industrial Strategy and The Rt Hon Alok Sharma MP",2020-06-09,"https://www.gov.uk/government/news/thousands-of-high-street-shops-department-stores-and-shopping-centres-to-reopen-safely-in-england"
"374","News story","No changes to travel corridor list","People should check latest government advice before travelling.","Department for Transport",2020-09-03,"https://www.gov.uk/government/news/no-changes-to-travel-corridor-list"
"375","Press release","Liverpool City Region to move into 'very high' local COVID Alert Level following rise in coronavirus infections","From 14 October, Liverpool City Region will be placed onto the ‘Very High’ Local Covid Alert Level.","Prime Minister's Office, 10 Downing Street",2020-10-12,"https://www.gov.uk/government/news/liverpool-city-region-to-move-into-very-high-local-covid-alert-level-following-rise-in-coronavirus-infections"
"376","Correspondence","Coronavirus (COVID-19): letter from Minister Hall to caravan and park home owners","Letter to all caravan and park home site owners to make clear that they should remain open for key workers and vulnerable groups during the COVID-19 pandemic.","Ministry of Housing, Communities & Local Government and Luke Hall MP",2020-03-27,"https://www.gov.uk/government/publications/letter-from-minister-hall-to-caravan-and-park-home-owners"
"377","News story","UK Government-supported mass Covid-19 testing begins in Merthyr","UK Military provides logistical support for county-wide programme of testing.","Office of the Secretary of State for Wales",2020-11-21,"https://www.gov.uk/government/news/uk-government-supported-mass-covid-19-testing-begins-in-merthyr"
"378","Press release","Coronavirus Community Support Fund awarded to 8,250 charities","Small and medium charities across England get share of £200m emergency funding.","Department for Digital, Culture, Media & Sport and The Rt Hon Oliver Dowden CBE MP",2020-11-13,"https://www.gov.uk/government/news/coronavirus-community-support-fund-awarded-to-8250-charities"
"379","Press release","UK government invests in Livingston facility to bolster vaccine manufacturing capacity","UK government and Valneva confirm multi-million-pound up-front investment in Livingston manufacturing facility.","Department for Business, Energy & Industrial Strategy, Office of the Secretary of State for Scotland, The Rt Hon Alok Sharma MP, and The Rt Hon Alister Jack MP",2020-08-05,"https://www.gov.uk/government/news/uk-government-invests-in-livingston-facility-to-bolster-vaccine-manufacturing-capacity"
"380","Press release","Argentina and the UK Joint Webinar: COVID-19 vaccines in Latin America and the Caribbean","Argentina and the UK host a virtual seminar on vaccine profiles, distribution challenges and countering vaccine disinformation.","Foreign, Commonwealth & Development Office and Wendy Morton MP",2020-12-15,"https://www.gov.uk/government/news/argentina-and-the-uk-joint-webinar-covid-19-vaccines-in-latin-america-and-the-caribbean"
"381","News story","Billion pound support package for innovative firms hit by coronavirus","UK businesses driving innovation and development will be helped through the coronavirus outbreak with a £1.25 billion government support package, the Chancellor announced today.","HM Treasury and Innovate UK",2020-04-20,"https://www.gov.uk/government/news/billion-pound-support-package-for-innovative-firms-hit-by-coronavirus"
"382","Press release","Most comprehensive flu programme in UK history will be rolled out this winter","Providers will work to vaccinate more than 30 million people during this flu season – millions more than received it last year.","Department of Health and Social Care",2020-07-24,"https://www.gov.uk/government/news/most-comprehensive-flu-programme-in-uk-history-will-be-rolled-out-this-winter"
"383","Press release","New saliva test for coronavirus piloted in Southampton","A weekly coronavirus (COVID-19) testing model using a new ‘no-swab’ saliva test is to be piloted in Southampton from this week (22 June).","Department of Health and Social Care",2020-06-22,"https://www.gov.uk/government/news/new-saliva-test-for-coronavirus-piloted-in-southampton"
"384","Press release","Government cracks down on spread of false coronavirus information online","Specialist units are operating to combat misinformation about coronavirus and five to ten incidents are being identified and tackled each day.","Cabinet Office, Department for Digital, Culture, Media & Sport, The Rt Hon Oliver Dowden CBE MP, and The Rt Hon Penny Mordaunt MP",2020-03-30,"https://www.gov.uk/government/news/government-cracks-down-on-spread-of-false-coronavirus-information-online"
"385","World news story","French border restrictions in response to coronavirus","A summary of the border restrictions in place for travelling to the UK and to France.","British Embassy Paris, British Consulate Bordeaux, British Consulate Marseille, and British Consulate Paris",2020-05-27,"https://www.gov.uk/government/news/french-border-restrictions-in-response-to-coronavirus"
"386","News story","Government publishes coronavirus (COVID-19) R value and growth rates","The government has today (Friday 19 June) published UK wide and regional growth rates for England for the first time, alongside R values.","Government Office for Science and Scientific Advisory Group for Emergencies",2020-06-19,"https://www.gov.uk/government/news/government-publishes-coronavirus-covid-19-r-value-and-growth-rates"
"387","Speech","Prime Minister's statement on coronavirus (COVID-19): 30 September 2020","Prime Minister Boris Johnson made a statement at the coronavirus press conference.","Prime Minister's Office, 10 Downing Street and The Rt Hon Boris Johnson MP",2020-09-30,"https://www.gov.uk/government/speeches/prime-ministers-statement-on-coronavirus-covid-19-30-september-2020"
"388","Oral statement to Parliament","Statement on international travel corridors","Update on international travel corridors and isolation periods.","Department for Transport and The Rt Hon Grant Shapps MP",2020-09-07,"https://www.gov.uk/government/speeches/statement-on-international-travel-corridors"
"389","Speech","Prime Minister's statement on coronavirus (COVID-19): 22 September 2020","Prime Minister Boris Johnson addressed the nation on coronavirus.","Prime Minister's Office, 10 Downing Street and The Rt Hon Boris Johnson MP",2020-09-22,"https://www.gov.uk/government/speeches/prime-ministers-statement-on-coronavirus-covid-19-22-september-2020"
"390","Press release","Largest home antibody testing programme for COVID-19 publishes findings","Findings published by Imperial College London today suggest that 6% of the population in England, around 3.4 million people, have been infected with COVID-19.","Department of Health and Social Care",2020-08-13,"https://www.gov.uk/government/news/largest-home-antibody-testing-programme-for-covid-19-publishes-findings"
"391","Press release","Care home support package backed by £600 million to help reduce coronavirus infections","A new £600 million Infection Control Fund has been introduced to tackle the spread of coronavirus (COVID-19) in care homes.","Department of Health and Social Care",2020-05-15,"https://www.gov.uk/government/news/care-home-support-package-backed-by-600-million-to-help-reduce-coronavirus-infections"
"392","Press release","Health Secretary warns of long-term effects of COVID-19 as new film released","New data suggests long COVID affects around 10% of 18 to 49 year olds who become unwell with COVID-19.","Department of Health and Social Care",2020-10-21,"https://www.gov.uk/government/news/health-secretary-warns-of-long-term-effects-of-covid-19-as-new-film-released"
"393","Press release","Prime Minister: World must unite to defeat COVID and prevent future pandemics","Prime Minister Boris Johnson will give a virtual address to the UN General Assembly during UNGA 2020.","Foreign, Commonwealth & Development Office, Prime Minister's Office, 10 Downing Street, and The Rt Hon Boris Johnson MP",2020-09-25,"https://www.gov.uk/government/news/prime-minister-world-must-unite-to-defeat-covid-and-prevent-future-pandemics"
"394","Correspondence","Designated settings scheme: letters to directors of adult social services","The letters set out arrangements for the designated settings scheme for people discharged to a care home with a positive COVID-19 test.","Department of Health and Social Care",2020-10-21,"https://www.gov.uk/government/publications/designated-premises-scheme-letter-to-directors-of-adult-social-services"
"395","News story","COVID-19: HMCTS publishes Civil, Family & Tribunals Recovery Plan","Detailed plan outlines how the civil and family courts, and our tribunals are increasing capacity to hear cases and maintain operations during COVID-19.","HM Courts & Tribunals Service",2020-11-09,"https://www.gov.uk/government/news/covid-19-hmcts-publishes-civil-family-tribunals-recovery-plan"
"396","Press release","£134 million boost to help UK businesses build back greener","Businesses across the UK are set to benefit from £134 million investment, enabling ground-breaking clean growth projects develop new technologies and secure new jobs.","Department for Business, Energy & Industrial Strategy, Innovate UK, and The Rt Hon Alok Sharma MP",2020-11-04,"https://www.gov.uk/government/news/134-million-boost-to-help-uk-businesses-build-back-greener"
"397","News story","Domestic abuse charities can apply for vital funds","Charities can bid for a share of £10 million funding to support victims of domestic abuse.","Ministry of Housing, Communities & Local Government and The Rt Hon Robert Jenrick MP",2020-05-07,"https://www.gov.uk/government/news/domestic-abuse-charities-can-apply-for-vital-funds"
"398","Press release","New Lighthouse Lab to boost NHS Test and Trace capacity","Lab capacity to continue to increase ahead of winter, with a new Lighthouse Lab set to open near Loughborough by the end of September.","Department of Health and Social Care",2020-09-03,"https://www.gov.uk/government/news/new-lighthouse-lab-to-boost-nhs-test-and-trace-capacity"
"399","Press release","Trial of rapid coronavirus test launched in Hampshire","The new coronavirus (COVID-19) test is highly effective in clinical settings and can return results on site, without being sent to a laboratory, within 20 minutes.","Department of Health and Social Care",2020-05-21,"https://www.gov.uk/government/news/trial-of-rapid-coronavirus-test-launched-in-hampshire"
"400","Press release","Over 1 million food boxes delivered to those most at risk from coronavirus","Over 1 million boxes of essential food have now been delivered to those at highest risk across England.","Ministry of Housing, Communities & Local Government, The Rt Hon George Eustice MP, and The Rt Hon Robert Jenrick MP",2020-05-06,"https://www.gov.uk/government/news/over-1-million-food-boxes-delivered-to-those-most-at-risk-from-coronavirus"
"401","Press release","Plans set out to support pupils eligible for free school meals","Children eligible for free school meals will be offered meals or vouchers as an alternative if they can no longer attend school due to coronavirus measures","Department for Education and The Rt Hon Gavin Williamson CBE MP",2020-03-19,"https://www.gov.uk/government/news/plans-set-out-to-support-pupils-eligible-for-free-school-meals"
"402","Speech","PM Commons statement on coronavirus: 22 September 2020","Prime Minister Boris Johnson made a statement on coronavirus to the House of Commons.","Prime Minister's Office, 10 Downing Street and The Rt Hon Boris Johnson MP",2020-09-22,"https://www.gov.uk/government/speeches/pm-commons-statement-on-coronavirus-22-september-2020"
"403","News story","Update from the UK Chief Medical Officers on the COVID-19 alert level","A joint statement from the UK CMOs recommending that the UK COVID-19 alert level move from level 3 to level 4.","Department of Health and Social Care",2020-09-21,"https://www.gov.uk/government/news/update-from-the-uk-chief-medical-officers-on-the-covid-19-alert-level"
"404","Press release","Plans to ease guidance for over 2 million shielding","Millions of people shielding from coronavirus (COVID-19) will be advised they can spend more time outside their homes from Monday 6 July, the Health and Social Care Secretary has announced.","Department of Health and Social Care and Ministry of Housing, Communities & Local Government",2020-06-22,"https://www.gov.uk/government/news/plans-to-ease-guidance-for-over-2-million-shielding"
"405","Speech","Prime Minister's statement on coronavirus (COVID-19): 9 March 2020","Prime Minister Boris Johnson held a press conference on coronavirus.","Prime Minister's Office, 10 Downing Street and The Rt Hon Boris Johnson MP",2020-03-09,"https://www.gov.uk/government/speeches/pm-statement-on-coronavirus-9-march-2020"
"406","Correspondence","COVID-19: mitigating impacts on Gypsy and Traveller communities","Lord Greenhalgh, Communities Minister, has written to local authority chief executives to highlight the support needed by some members of Gypsy and Traveller communities.","Ministry of Housing, Communities & Local Government and Lord Stephen Greenhalgh",2020-04-30,"https://www.gov.uk/government/publications/covid-19-mitigating-impacts-on-gypsy-and-traveller-communities"
"407","Press release","Funding and manufacturing boost for UK vaccine programme","UK’s top researchers rapidly working to find a coronavirus vaccine will benefit from £84 million of new government funding.","Department for Business, Energy & Industrial Strategy and The Rt Hon Alok Sharma MP",2020-05-17,"https://www.gov.uk/government/news/funding-and-manufacturing-boost-for-uk-vaccine-programme"
"408","Press release","£500 million funding for quick result COVID-19 test trials","A new £500 million funding package will be invested in next generation testing technology and increased testing capacity.","Department of Health and Social Care",2020-09-03,"https://www.gov.uk/government/news/500-million-funding-for-quick-result-covid-19-test-trials"
"409","Press release","Government provides further halt to business evictions and more support for high street firms","New code provides support to shops and local firms planning their future recovery with their landlord.","Ministry of Housing, Communities & Local Government, The Rt Hon Alok Sharma MP, and The Rt Hon Robert Jenrick MP",2020-06-19,"https://www.gov.uk/government/news/government-provides-further-halt-to-business-evictions-and-more-support-for-high-street-firms"
"410","News story","MHRA services during the Coronavirus (COVID-19) response","How to get in touch with the MHRA during this period.","Medicines and Healthcare products Regulatory Agency",2020-03-20,"https://www.gov.uk/government/news/mhra-services-during-the-coronavirus-covid-19-response"
"411","Press release","Largest testing programme for coronavirus reinforces need for vigilance","The third report from the country’s largest study on coronavirus rates of infection has been published today showing that cases are increasing steadily across the country.","Department of Health and Social Care",2020-09-11,"https://www.gov.uk/government/news/largest-testing-programme-for-coronavirus-reinforces-need-for-vigilance"
"412","Decision","Modification notice: school registration legislation changes","Secretary of State for Education issues an eighth notice to modify pupil registration requirements for temporary pupils during the coronavirus (COVID-19) outbreak.","Department for Education",2020-04-30,"https://www.gov.uk/government/publications/modification-notice-school-registration-legislation-changes"
"413","Speech","Amanda Spielman at NCASC 2020","Ofsted's Chief Inspector gave a speech at the online National Children and Adult Services (NCAS) Conference.","Ofsted and Amanda Spielman",2020-11-06,"https://www.gov.uk/government/speeches/amanda-spielman-at-ncasc-2020"
"414","News story","Eight reasons to Shop Local this week to help the high street bounce back","Government urges shoppers to visit their local high street and support businesses during Shop Local Week.","Department for Business, Energy & Industrial Strategy, Paul Scully MP, and The Rt Hon Alok Sharma MP",2020-08-10,"https://www.gov.uk/government/news/eight-reasons-to-shop-local-this-week-to-help-the-high-street-bounce-back"
"415","News story","Government to extend testing for coronavirus to more frontline workers","Access to testing for those with symptoms of coronavirus (COVID-19) will be extended across England to include additional frontline workers and symptomatic members of their household.","Department of Health and Social Care",2020-04-17,"https://www.gov.uk/government/news/government-to-extend-testing-for-coronavirus-to-more-frontline-workers"
"416","Speech","Prime Minister's statement on coronavirus (COVID-19): 22 March 2020","Prime Minister Boris Johnson made a statement on coronavirus.","Prime Minister's Office, 10 Downing Street and The Rt Hon Boris Johnson MP",2020-03-22,"https://www.gov.uk/government/speeches/pm-statement-on-coronavirus-22-march-2020"
"417","Press release","Millions of extra flu jabs available to support largest UK vaccination programme","Over 30 million people to be vaccinated this year to protect them from flu and support the NHS.","Department of Health and Social Care",2020-10-22,"https://www.gov.uk/government/news/millions-of-extra-flu-jabs-available-to-support-largest-uk-vaccination-programme"
"418","Speech","Prime Minister's statement on coronavirus (COVID-19): 10 June 2020","Prime Minister Boris Johnson gave a statement at the coronavirus press conference on 10 June 2020.","Prime Minister's Office, 10 Downing Street and The Rt Hon Boris Johnson MP",2020-06-10,"https://www.gov.uk/government/speeches/pm-statement-at-the-coronavirus-press-conference-10-june-2020"
"419","News story","File your Companies House accounts online to avoid delays","We have reduced numbers in our offices following government coronavirus (COVID-19) guidance - so it will take much longer to process paper documents sent by post.","Companies House",2020-10-08,"https://www.gov.uk/government/news/file-your-companies-house-accounts-online-to-avoid-delays"
"420","Speech","The future of public health","Health and Social Care Secretary Matt Hancock spoke at Policy Exchange about the future of public health.","Department of Health and Social Care and The Rt Hon Matt Hancock MP",2020-08-18,"https://www.gov.uk/government/speeches/the-future-of-public-health"
"421","Press release","Landmark Kickstart scheme opens to youth in Wales","The £2bn scheme will create thousands of new jobs for young people across Wales and the rest of the UK","Office of the Secretary of State for Wales and The Rt Hon Simon Hart MP",2020-09-02,"https://www.gov.uk/government/news/landmark-kickstart-scheme-opens-to-youth-in-wales"
"422","Press release","Major new measures to protect people at highest risk from coronavirus","A raft of new measures, including a helpline for the most in need of support, have been set out for those considered to be extremely vulnerable.","Ministry of Housing, Communities & Local Government, Department of Health and Social Care, Public Health England, The Rt Hon Matt Hancock MP, and The Rt Hon Robert Jenrick MP",2020-03-21,"https://www.gov.uk/government/news/major-new-measures-to-protect-people-at-highest-risk-from-coronavirus"
"423","Speech","Prime Minister's statement on coronavirus (COVID-19): 12 October 2020","Prime Minister Boris Johnson made a statement at the coronavirus press conference.","Prime Minister's Office, 10 Downing Street and The Rt Hon Boris Johnson MP",2020-10-12,"https://www.gov.uk/government/speeches/prime-ministers-statement-on-coronavirus-covid-19-12-october-2020"
"424","Press release","Clinical trial approved to help the NHS treat COVID-19 patients using plasma","If effective, a national programme will deliver up to 10,000 units of plasma a week to the NHS to help treat coronavirus (COVID-19) patients.","Department of Health and Social Care",2020-04-25,"https://www.gov.uk/government/news/clinical-trial-approved-to-help-the-nhs-treat-covid-19-patients-using-plasma"
"425","Press release","Stronger measures introduced in parts of the North East to tackle rising infection rates","New restrictions will be introduced in parts of the north-east of England to curb rising infection rates.","Department of Health and Social Care",2020-09-17,"https://www.gov.uk/government/news/stronger-measures-introduced-in-parts-of-the-north-east-to-tackle-rising-infection-rates"
"426","Press release","£40m boost for cutting-edge start-ups","Innovative businesses and start-ups are set to benefit from a £40 million government investment to drive forward new technological advances.","Department for Business, Energy & Industrial Strategy, Innovate UK, and The Rt Hon Alok Sharma MP",2020-05-20,"https://www.gov.uk/government/news/40m-boost-for-cutting-edge-start-ups"
"427","News story","Bolton businesses to receive grants of up to £1,500 from government","Certain businesses in Bolton that have been closed for 3 weeks will be eligible for the support.","Department for Business, Energy & Industrial Strategy and HM Treasury",2020-10-01,"https://www.gov.uk/government/news/bolton-businesses-to-receive-grants-of-up-to-1500-from-government"
"428","News story","Prime Minister's statement on coronavirus (COVID-19): 30 April 2020","Prime Minister Boris Johnson's statement on coronavirus.","Prime Minister's Office, 10 Downing Street and The Rt Hon Boris Johnson MP",2020-04-30,"https://www.gov.uk/government/news/prime-ministers-statement-on-coronavirus-covid-19-30-april-2020"
"429","Speech","Prime Minister's statement on coronavirus (COVID-19): 25 March 2020","Prime Minister Boris Johnson made a statement on coronavirus.","Prime Minister's Office, 10 Downing Street and The Rt Hon Boris Johnson MP",2020-03-25,"https://www.gov.uk/government/speeches/pm-statement-on-coronavirus-25-march-2020"
"430","Press release","Rough sleepers to be helped to keep safe this winter","Support will give local areas the tools and funding they need to protect people from life-threatening cold weather and the risks posed by coronavirus.","Ministry of Housing, Communities & Local Government and The Rt Hon Robert Jenrick MP",2020-10-13,"https://www.gov.uk/government/news/rough-sleepers-to-be-helped-to-keep-safe-this-winter"
"431","Press release","Landmark strategy launched to cement UK’s position as global leader in genomics","Health and Social Care Secretary Matt Hancock has today heralded the launch of a landmark new strategy that will secure the UK’s future position as a global leader in genomics.","Department of Health and Social Care",2020-09-26,"https://www.gov.uk/government/news/landmark-strategy-launched-to-cement-uks-position-as-global-leader-in-genomics"
"432","Press release","Restrictions lifted in parts of Greater Manchester, Lancashire and West Yorkshire","Locally led approach seeing results as COVID-19 cases drop in some hotspot areas in northern England.","Department of Health and Social Care",2020-08-28,"https://www.gov.uk/government/news/restrictions-lifted-in-parts-of-greater-manchester-lancashire-and-west-yorkshire"
"433","Press release","COVID-19 tests offered to every care home for elderly or those with dementia","Test kits have been offered to every care home for over-65s or those with dementia in England, reaching the testing target for 6 June.","Department of Health and Social Care",2020-06-07,"https://www.gov.uk/government/news/covid-19-tests-offered-to-every-care-home-for-elderly-or-those-with-dementia"
"434","Press release","Huge increase in UK personal protective equipment production","Robust and resilient PPE supply chains will provide continuous flow to frontline.","Department of Health and Social Care",2020-09-28,"https://www.gov.uk/government/news/huge-increase-in-uk-personal-protective-equipment-production"
"435","Press release","Major home testing programme for coronavirus will track levels of infection in the community","100,000 people will be sent self-testing kits to determine if they are currently infected.","Department of Health and Social Care",2020-04-29,"https://www.gov.uk/government/news/major-home-testing-programme-for-coronavirus-will-track-levels-of-infection-in-the-community"
"436","Correspondence","Shielding update: letter to patients, 22 June 2020","Translations and accessible formats of a letter from the government sent to patients in England who are shielding.","Department of Health and Social Care",2020-06-29,"https://www.gov.uk/government/publications/shielding-update-letter-to-patients-22-june-2020"
"437","News story","Millions of jobs will continue to be supported as Job Support Scheme launches","Millions of jobs will continue to be supported over the winter months with the government’s JSS available to businesses across the UK from Sunday, 1 November.","HM Treasury",2020-10-30,"https://www.gov.uk/government/news/millions-of-jobs-will-continue-to-be-supported-as-job-support-scheme-launches"
"438","Press release","NHS to benefit from £13.4 billion debt write-off","Health Secretary announces over £13 billion of debt will be written off as part of a major financial reset for NHS providers.","Department of Health and Social Care",2020-04-02,"https://www.gov.uk/government/news/nhs-to-benefit-from-13-4-billion-debt-write-off"
"439","News story","New adult social care guidance to protect the most vulnerable against COVID-19","Adults receiving social care will be better protected by new guidance for councils and care providers as the government works to delay the spread of COVID-19.","Department of Health and Social Care and Public Health England",2020-03-13,"https://www.gov.uk/government/news/new-adult-social-care-guidance-to-protect-the-most-vulnerable-against-covid-19"
"440","Speech","Prime Minister's statement to the House of Commons on coronavirus: 4 November 2020","Prime Minister Boris Johnson made a statement on coronavirus to the House of Commons.","Prime Minister's Office, 10 Downing Street and The Rt Hon Boris Johnson MP",2020-11-04,"https://www.gov.uk/government/speeches/prime-ministers-statement-to-the-house-of-commons-on-coronavirus-4-november-2020"
"441","Press release","November interim findings from COVID-19 transmission study published","Over 105,000 volunteers tested in England in latest significant study into coronavirus (COVID-19) by Imperial College London and Ipsos MORI.","Department of Health and Social Care",2020-11-30,"https://www.gov.uk/government/news/november-interim-findings-from-covid-19-transmission-study-published"
"442","Press release","NHS Test and Trace statistics for 27 August to 2 September released","Latest figures show that 82.7% of people who tested positive and were transferred to the contact-tracing system were reached and asked to provide information about their contacts.","Department of Health and Social Care",2020-09-10,"https://www.gov.uk/government/news/nhs-test-and-trace-statistics-for-27-august-to-2-september-released"
"443","Press release","PM hails ‘herculean effort’ of life science companies to defeat coronavirus","Prime Minister Boris Johnson hosted a discussion with heads of leading life science and pharmaceutical companies  on coronavirus and the prevention of future pandemics.","Prime Minister's Office, 10 Downing Street",2020-11-11,"https://www.gov.uk/government/news/pm-hails-herculean-effort-of-life-science-companies-to-defeat-coronavirus"
"444","Press release","UK government secures new COVID-19 vaccines and backs global clinical trial","UK citizens will receive early access to 90 million doses of 2 COVID-19 vaccine candidates should they prove safe and effective.","Department for Business, Energy & Industrial Strategy and The Rt Hon Alok Sharma MP",2020-08-14,"https://www.gov.uk/government/news/uk-government-secures-new-covid-19-vaccines-and-backs-global-clinical-trial"
"445","Press release","Study finds very low numbers of COVID-19 outbreaks in schools","Public Health England detected just 67 single cases and 30 outbreaks (defined as 2 or more linked cases) in schools across England in June.","Public Health England",2020-08-23,"https://www.gov.uk/government/news/study-finds-very-low-numbers-of-covid-19-outbreaks-in-schools"
"446","News story","Guidance updated to support the safe management of funerals","Further guidance for those managing or organising funerals during the coronavirus COVID-19 pandemic.","Public Health England",2020-04-19,"https://www.gov.uk/government/news/guidance-updated-to-support-the-safe-management-of-funerals"
"447","News story","GCSE MFL spoken language assessment criteria and approach","Pass, merit and distinction criteria for 2021 published, with flexible approach to assessment in class or on a one-to-one basis.","Ofqual",2020-11-05,"https://www.gov.uk/government/news/gcse-mfl-spoken-language-assessment-criteria-and-approach"
"448","Press release","More than £500 million for social care to reduce coronavirus transmission over winter","Care providers will be given an extra £546 million to bolster infection control and help protect residents and staff throughout winter.","Department of Health and Social Care",2020-09-17,"https://www.gov.uk/government/news/more-than-500-million-for-social-care-to-reduce-coronavirus-transmission-over-winter"
"449","Press release","Comprehensive new funding package for councils to help address coronavirus pressures and cover lost income during the pandemic","Major new support package to help councils respond to coronavirus  announced as part of comprehensive plan to ensure councils’ financial sustainability for the future.","Ministry of Housing, Communities & Local Government, Simon Clarke MP, and The Rt Hon Robert Jenrick MP",2020-07-02,"https://www.gov.uk/government/news/comprehensive-new-funding-package-for-councils-to-help-address-coronavirus-pressures-and-cover-lost-income-during-the-pandemic"
"450","Press release","£3.2 million emergency support for rough sleepers during coronavirus outbreak","Communities Secretary Robert Jenrick announces £3.2 million emergency funding to help rough sleepers to self-isolate.","Ministry of Housing, Communities & Local Government and The Rt Hon Robert Jenrick MP",2020-03-17,"https://www.gov.uk/government/news/3-2-million-emergency-support-for-rough-sleepers-during-coronavirus-outbreak"
"451","Press release","Health Secretary announces strengthened legal powers to bolster public health protections against coronavirus","The government has today introduced strengthened powers to bolster protections against the coronavirus outbreak for people in England.","Department of Health and Social Care",2020-02-10,"https://www.gov.uk/government/news/health-secretary-announces-strengthened-legal-powers-to-bolster-public-health-protections-against-coronavirus"
"452","Press release","£105 million to keep rough sleepers safe and off the streets during coronavirus pandemic","Interim housing for thousands of rough sleepers taken off the streets during the pandemic to be provided.","Ministry of Housing, Communities & Local Government, HM Treasury, The Rt Hon Robert Jenrick MP, and The Rt Hon Steve Barclay MP",2020-06-24,"https://www.gov.uk/government/news/105-million-to-keep-rough-sleepers-safe-and-off-the-streets-during-coronavirus-pandemic"
"453","Press release","Kate Bingham appointed chair of UK Vaccine Taskforce","Kate Bingham has been appointed chair of the UK’s Vaccine Taskforce","Department for Business, Energy & Industrial Strategy, Department of Health and Social Care, The Rt Hon Matt Hancock MP, and The Rt Hon Alok Sharma MP",2020-05-16,"https://www.gov.uk/government/news/kate-bingham-appointed-chair-of-uk-vaccine-taskforce"
"454","Press release","1 in 8 people in England have now been tested for coronavirus","1 in 8 people have now received a coronavirus test at least once since the launch of NHS Test and Trace on 28 May.","Department of Health and Social Care",2020-10-02,"https://www.gov.uk/government/news/1-in-8-people-in-england-have-now-been-tested-for-coronavirus"
"455","Press release","Indoor inter-household mixing restricted in parts of the North East","Measures will be brought into law restricting inter-household mixing in indoor settings, including pubs and restaurants, in Durham, Gateshead, Newcastle, North Tyneside, South Tyneside, Northumberland and Sunderland.","Department of Health and Social Care",2020-09-28,"https://www.gov.uk/government/news/indoor-inter-household-mixing-restricted-in-parts-of-the-north-east"
"456","Press release","Prime Minister sets out timeline for retail to reopen in June","Prime Minister Boris Johnson sets out a timeline for retail to reopen in June.","Prime Minister's Office, 10 Downing Street, The Rt Hon Boris Johnson MP, and The Rt Hon Alok Sharma MP",2020-05-25,"https://www.gov.uk/government/news/prime-minister-sets-out-timeline-for-retail-to-reopen-in-june"
"457","News story","Government publishes changes to growth rates and R value","The government has today (Friday 31 July) published the latest UK wide and regional growth rates for England, alongside R values.","Government Office for Science",2020-07-31,"https://www.gov.uk/government/news/government-publishes-changes-to-growth-rates-and-r-value"
"458","News story","Transport Secretary announces new measures to “keep passengers safe now and level up for the future”","Funding to protect and increase transport services, level up infrastructure and regenerate local economies after the coronavirus (COVID-19) outbreak.","Department for Transport and The Rt Hon Grant Shapps MP",2020-05-23,"https://www.gov.uk/government/news/transport-secretary-announces-new-measures-to-keep-passengers-safe-now-and-level-up-for-the-future"
"459","News story","Over 64 million meals claimed for as Eat Out to Help Out enters fourth week","More than 64 million meals have been enjoyed by diners across the country since the launch of the government’s Eat Out to Help Out discount scheme.","HM Treasury",2020-08-25,"https://www.gov.uk/government/news/over-64-million-meals-claimed-for-as-eat-out-to-help-out-enters-fourth-week"
"460","Press release","Further details on exams and grades announced","Further details on arrangements for exams which have been cancelled to fight spread of coronavirus","Department for Education and The Rt Hon Gavin Williamson CBE MP",2020-03-20,"https://www.gov.uk/government/news/further-details-on-exams-and-grades-announced"
